,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,XP.VAMOS POR CHILE,UDI,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",11. VALERIO PATRICIO CAÑIPA TARQUE (H),,,1.0
0,XP.VAMOS POR CHILE,RN,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",12. MARIA CALATAYUD SAAVEDRA (M),,,1.0
0,XP.VAMOS POR CHILE,RN,0,ARICA,2822,ARICA,7001,3M,70010003,"0,00%",13. HECTOR MILLA BRAVO (H),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",14. BRUNELLA VINET MATTASOGLIO (M),,,1.0
0,XP.VAMOS POR CHILE,IND-EVOPOLI,4,ARICA,2822,ARICA,7001,3M,70010003,"3,60%",15. FRANCISCO JAVIER GONZALEZ SILVA (H),,,1.0
0,YB.LISTA DEL APRUEBO,PS,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",16. HORTENCIA HIDALGO CACERES (M),,,1.0
0,YB.LISTA DEL APRUEBO,IND-PL,7,ARICA,2822,ARICA,7001,3M,70010003,"6,31%",17. JORGE BRUNO ABARCA RIVEROS (H),,*,1.0
0,YB.LISTA DEL APRUEBO,IND-PRO,3,ARICA,2822,ARICA,7001,3M,70010003,"2,70%",18. IRIS ANDREA RUBIO MEDINA (M),,,1.0
0,YB.LISTA DEL APRUEBO,PDC,11,ARICA,2822,ARICA,7001,3M,70010003,"9,91%",19. RAUL  CASTRO LETELIER (H),,,1.0
0,YB.LISTA DEL APRUEBO,PR,2,ARICA,2822,ARICA,7001,3M,70010003,"1,80%",20. ERNESTINA DEL CARMEN SILVA VILLEGAS (M),,,1.0
0,YB.LISTA DEL APRUEBO,PS,1,ARICA,2822,ARICA,7001,3M,70010003,"0,90%",21. ENZO VARENS ALVAREZ (H),,,1.0
0,YQ.APRUEBO DIGNIDAD,PCCH,5,ARICA,2822,ARICA,7001,3M,70010003,"4,50%",22. CAROLINA ELIANA VIDELA OSORIO (M),,*,1.0
